disease,miRNA,disease_idx,miRNA_idx,label
"Fatty Liver, Non-Alcoholic",hsa-mir-150,41,217,1
Fever,hsa-mir-150,679,217,1
Gastric Neoplasms,hsa-mir-150,42,217,1
Glioma,hsa-mir-150,44,217,1
Graft-Versus-Host Disease,hsa-mir-150,197,217,1
Heart Failure,hsa-mir-150,47,217,1
Hematologic Neoplasms,hsa-mir-150,200,217,1
Hepatitis B Virus Infection,hsa-mir-150,201,217,1
Hepatoblastoma,hsa-mir-150,202,217,1
Human Immunodeficiency Virus Infection,hsa-mir-150,50,217,1
Human Papilloma Virus Infection,hsa-mir-150,328,217,1
Huntington Disease,hsa-mir-150,205,217,1
Hypertension,hsa-mir-150,51,217,1
Immune System Disease,hsa-mir-150,425,217,1
Infection,hsa-mir-150,426,217,1
Inflammation,hsa-mir-150,211,217,1
Inflammatory Bowel Diseases,hsa-mir-150,466,217,1
Influenza,hsa-mir-150,212,217,1
Intrahepatic Cholangiocarcinoma,hsa-mir-150,216,217,1
Irritable Bowel Syndrome,hsa-mir-150,217,217,1
Ischemia-Reperfusion Injury,hsa-mir-150,218,217,1
Kideny Transplant Rejection,hsa-mir-150,54,217,1
Kidney Injury,hsa-mir-150,221,217,1
Leukemia,hsa-mir-150,55,217,1
"Leukemia, Acute",hsa-mir-150,223,217,1
"Leukemia, Lymphoblastic, Acute",hsa-mir-150,57,217,1
"Leukemia, Lymphocytic, Chronic, B-Cell",hsa-mir-150,59,217,1
"Leukemia, Myeloid",hsa-mir-150,313,217,1
"Leukemia, Myeloid, Acute",hsa-mir-150,60,217,1
"Leukemia, Myeloid, Chronic",hsa-mir-150,62,217,1
"Leukemia-Lymphoma, Adult T-Cell",hsa-mir-150,65,217,1
Liver Injury,hsa-mir-150,228,217,1
Lofgren Syndrome,hsa-mir-150,230,217,1
Lung Injury,hsa-mir-150,467,217,1
Lung Neoplasms,hsa-mir-150,69,217,1
Lupus Nephritis,hsa-mir-150,232,217,1
Lupus Vulgaris,hsa-mir-150,70,217,1
Lymphoma,hsa-mir-150,71,217,1
"Lymphoma, B-Cell",hsa-mir-150,72,217,1
"Lymphoma, Burkitt",hsa-mir-150,233,217,1
"Lymphoma, Large B-Cell, Diffuse",hsa-mir-150,234,217,1
"Lymphoma, Large-Cell, Anaplastic",hsa-mir-150,74,217,1
"Lymphoma, T-Cell, Cutaneous",hsa-mir-150,457,217,1
Marek Disease,hsa-mir-150,75,217,1
Melanoma,hsa-mir-150,76,217,1
Multiple Myeloma,hsa-mir-150,79,217,1
Multiple Sclerosis,hsa-mir-150,80,217,1
Myasthenia Gravis,hsa-mir-150,81,217,1
Mycobacterium tuberculosis Infection,hsa-mir-150,248,217,1
Myeloma,hsa-mir-150,249,217,1
Myeloproliferative Neoplasms,hsa-mir-150,250,217,1
Myocardial Infarction,hsa-mir-150,83,217,1
Neoplasms,hsa-mir-150,85,217,1
Neuropathic Pain,hsa-mir-150,458,217,1
Obesity,hsa-mir-150,87,217,1
Osteoporosis,hsa-mir-150,258,217,1
Osteosarcoma,hsa-mir-150,259,217,1
Ovarian Neoplasms,hsa-mir-150,88,217,1
Pancreatic Neoplasms,hsa-mir-150,89,217,1
Pituitary Adenoma,hsa-mir-150,616,217,1
Polycythemia Vera,hsa-mir-150,95,217,1
Prostate Neoplasms,hsa-mir-150,99,217,1
Psoriasis,hsa-mir-150,267,217,1
Retinal Neovascularization,hsa-mir-150,459,217,1
"Scleroderma, Systemic",hsa-mir-150,272,217,1
Sepsis,hsa-mir-150,104,217,1
Sjogren Syndrome,hsa-mir-150,105,217,1
Skin Disease,hsa-mir-150,635,217,1
Spondylarthritis,hsa-mir-150,108,217,1
"Squamous Cell Carcinoma, Esophageal",hsa-mir-150,109,217,1
"Squamous Cell Carcinoma, Head and Neck",hsa-mir-150,273,217,1
Stroke,hsa-mir-150,110,217,1
"Stroke, Ischemic",hsa-mir-150,111,217,1
Systemic Lupus Erythematosus,hsa-mir-150,112,217,1
Thyroid Neoplasms,hsa-mir-150,113,217,1
Traumatic Brain Injury,hsa-mir-150,280,217,1
Acquired Immunodeficiency Syndrome,hsa-mir-198,330,289,1
"Adenocarcinoma, Pancreatic Ductal",hsa-mir-198,122,289,1
Breast Neoplasms,hsa-mir-198,15,289,1
"Carcinoma, Esophageal",hsa-mir-198,17,289,1
"Carcinoma, Hepatocellular",hsa-mir-198,18,289,1
Chronic Pancreatitis,hsa-mir-198,788,289,1
Colorectal Carcinoma,hsa-mir-198,30,289,1
Coronary Artery Disease,hsa-mir-198,31,289,1
Gastric Neoplasms,hsa-mir-198,42,289,1
Glioblastoma,hsa-mir-198,43,289,1
Lung Neoplasms,hsa-mir-198,69,289,1
Lupus Nephritis,hsa-mir-198,232,289,1
Lupus Vulgaris,hsa-mir-198,70,289,1
Neoplasms,hsa-mir-198,85,289,1
Osteosarcoma,hsa-mir-198,259,289,1
Pancreatic Neoplasms,hsa-mir-198,89,289,1
Preeclampsia,hsa-mir-198,96,289,1
Prostate Neoplasms,hsa-mir-198,99,289,1
Schizophrenia,hsa-mir-198,103,289,1
Acquired Immunodeficiency Syndrome,hsa-mir-223,330,337,1
Acute Coronary Syndrome,hsa-mir-223,117,337,1
Acute Ischemic Stroke,hsa-mir-223,2,337,1
Acute Peritonitis,hsa-mir-223,779,337,1
"Adenocarcinoma, Colon",hsa-mir-223,350,337,1
"Adenocarcinoma, Endometrial",hsa-mir-223,474,337,1
"Adenocarcinoma, Gastric",hsa-mir-223,372,337,1
"Adenocarcinoma, Lung",hsa-mir-223,121,337,1
"Adenocarcinoma, Pancreatic Ductal",hsa-mir-223,122,337,1
Allergic Asthma,hsa-mir-223,125,337,1
Allergic Rhinitis,hsa-mir-223,4,337,1
"Aortic Aneurysm, Abdominal",hsa-mir-223,128,337,1
Aplastic Anemia,hsa-mir-223,129,337,1
Asthma,hsa-mir-223,10,337,1
Atherosclerosis,hsa-mir-223,11,337,1
Atopic Dermatitis,hsa-mir-223,289,337,1
Atrial Fibrillation,hsa-mir-223,131,337,1
Autoimmune Diseases,hsa-mir-223,290,337,1
Barrett Esophagus,hsa-mir-223,491,337,1
Bladder Neoplasms,hsa-mir-223,14,337,1
Breast Neoplasms,hsa-mir-223,15,337,1
"Carcinoma, Bladder",hsa-mir-223,138,337,1
"Carcinoma, Breast",hsa-mir-223,139,337,1
"Carcinoma, Breast, Triple Negative",hsa-mir-223,140,337,1
"Carcinoma, Cervical",hsa-mir-223,141,337,1
"Carcinoma, Gastric",hsa-mir-223,144,337,1
"Carcinoma, Gastrooesophageal",hsa-mir-223,504,337,1
"Carcinoma, Hepatocellular",hsa-mir-223,18,337,1
"Carcinoma, Lung",hsa-mir-223,146,337,1
"Carcinoma, Lung, Non-Small-Cell",hsa-mir-223,20,337,1
"Carcinoma, Nasopharyngeal",hsa-mir-223,148,337,1
"Carcinoma, Ovarian, Serous",hsa-mir-223,151,337,1
"Carcinoma, Renal Cell, Clear-Cell",hsa-mir-223,155,337,1
Cardiovascular Diseases,hsa-mir-223,23,337,1
Chorioamnionitis,hsa-mir-223,827,337,1
Choriocarcinoma,hsa-mir-223,27,337,1
Chronic Hepatitis C,hsa-mir-223,166,337,1
Colon Neoplasms,hsa-mir-223,29,337,1
Colorectal Adenocarcinoma,hsa-mir-223,170,337,1
Colorectal Carcinoma,hsa-mir-223,30,337,1
Coronary Artery Disease,hsa-mir-223,31,337,1
Dementia,hsa-mir-223,174,337,1
Diabetes Mellitus,hsa-mir-223,34,337,1
"Diabetes Mellitus, Type 2",hsa-mir-223,36,337,1
Disease of Metabolism,hsa-mir-223,539,337,1
Ectopic Pregnancy,hsa-mir-223,37,337,1
Encephalomyelitis,hsa-mir-223,424,337,1
Endometriosis,hsa-mir-223,38,337,1
Eosinophilic Esophagitis,hsa-mir-223,39,337,1
Epilepsy,hsa-mir-223,185,337,1
Esophageal Neoplasms,hsa-mir-223,186,337,1
Fibromyalgia,hsa-mir-223,762,337,1
Gastric Neoplasms,hsa-mir-223,42,337,1
Gastrointestinal Neoplasms,hsa-mir-223,193,337,1
Glioblastoma,hsa-mir-223,43,337,1
Glioma,hsa-mir-223,44,337,1
Habitual Abortion,hsa-mir-223,387,337,1
Head And Neck Neoplasms,hsa-mir-223,198,337,1
Heart Failure,hsa-mir-223,47,337,1
Helicobacter pylori Infection,hsa-mir-223,359,337,1
Hematologic Neoplasms,hsa-mir-223,200,337,1
Hemoglobinopathy,hsa-mir-223,731,337,1
Hemophagocytic Lymphohistiocytosis,hsa-mir-223,732,337,1
Hepatitis,hsa-mir-223,564,337,1
Hepatitis B Virus Infection,hsa-mir-223,201,337,1
Hepatoblastoma,hsa-mir-223,202,337,1
Human Immunodeficiency Virus Infection,hsa-mir-223,50,337,1
Hypertension,hsa-mir-223,51,337,1
Immune Thrombocytopenic Purpura,hsa-mir-223,210,337,1
Infection,hsa-mir-223,426,337,1
Inflammation,hsa-mir-223,211,337,1
Inflammatory Bowel Diseases,hsa-mir-223,466,337,1
Intestinal Schistosomiasis,hsa-mir-223,215,337,1
Ischemia-Reperfusion Injury,hsa-mir-223,218,337,1
Knee Osteoarthritis,hsa-mir-223,691,337,1
Leukemia,hsa-mir-223,55,337,1
"Leukemia, Acute",hsa-mir-223,223,337,1
"Leukemia, Lymphoblastic",hsa-mir-223,56,337,1
"Leukemia, Lymphoblastic, Acute",hsa-mir-223,57,337,1
"Leukemia, Lymphoblastic, Acute, B-Cell",hsa-mir-223,581,337,1
"Leukemia, Lymphoblastic, Acute, T-Cell",hsa-mir-223,224,337,1
"Leukemia, Lymphocytic, Chronic, B-Cell",hsa-mir-223,59,337,1
"Leukemia, Myeloid, Acute",hsa-mir-223,60,337,1
"Leukemia, Promyelocytic, Acute",hsa-mir-223,64,337,1
"Leukemia-Lymphoma, Adult T-Cell",hsa-mir-223,65,337,1
"Leukemia-Lymphoma, Precursor T-Cell Lymphoblastic",hsa-mir-223,67,337,1
Liver Diseases,hsa-mir-223,227,337,1
Liver Failure,hsa-mir-223,439,337,1
Liver Injury,hsa-mir-223,228,337,1
Liver Neoplasms,hsa-mir-223,229,337,1
Lung Injury,hsa-mir-223,467,337,1
Lung Neoplasms,hsa-mir-223,69,337,1
Lupus Vulgaris,hsa-mir-223,70,337,1
Lyme Disease,hsa-mir-223,794,337,1
"Lymphoma, Large B-Cell, Diffuse",hsa-mir-223,234,337,1
"Lymphoma, Non-Hodgkin",hsa-mir-223,235,337,1
"Lymphoma, T-Cell",hsa-mir-223,236,337,1
Marek Disease,hsa-mir-223,75,337,1
Mastitis,hsa-mir-223,796,337,1
Medulloblastoma,hsa-mir-223,314,337,1
Melanoma,hsa-mir-223,76,337,1
Multiple Myeloma,hsa-mir-223,79,337,1
Multiple Sclerosis,hsa-mir-223,80,337,1
Muscle Atrophy,hsa-mir-223,244,337,1
Muscular Dystrophy,hsa-mir-223,246,337,1
Mycosis Fungoides,hsa-mir-223,766,337,1
Myocardial Infarction,hsa-mir-223,83,337,1
Nasopharyngeal Neoplasms,hsa-mir-223,84,337,1
Neoplasms,hsa-mir-223,85,337,1
Non-Neoplastic Diseases,hsa-mir-223,255,337,1
Obesity,hsa-mir-223,87,337,1
Oral Neoplasms,hsa-mir-223,256,337,1
Osteoarthritis,hsa-mir-223,257,337,1
Osteosarcoma,hsa-mir-223,259,337,1
Ovarian Neoplasms,hsa-mir-223,88,337,1
Pancreatic Neoplasms,hsa-mir-223,89,337,1
Pelvic Inflammatory Disease,hsa-mir-223,342,337,1
Penis Carcinoma,hsa-mir-223,805,337,1
Periodontal Diseases,hsa-mir-223,610,337,1
Peritoneal Fibrosis,hsa-mir-223,741,337,1
Peritoneal Neoplasms,hsa-mir-223,806,337,1
Pleural Mesothelioma,hsa-mir-223,343,337,1
Polycystic Kidney Disease,hsa-mir-223,93,337,1
Polycystic Ovarian Syndrome,hsa-mir-223,94,337,1
Polycythemia Vera,hsa-mir-223,95,337,1
Preeclampsia,hsa-mir-223,96,337,1
Prostate Neoplasms,hsa-mir-223,99,337,1
Psoriasis,hsa-mir-223,267,337,1
Pulmonary Hypertension,hsa-mir-223,268,337,1
Rheumatic Myocarditis,hsa-mir-223,627,337,1
Rheumatoid Arthritis,hsa-mir-223,102,337,1
Sepsis,hsa-mir-223,104,337,1
Sjogren Syndrome,hsa-mir-223,105,337,1
Spinal Cord Injuries,hsa-mir-223,106,337,1
Squamous Cell Carcinoma,hsa-mir-223,369,337,1
"Squamous Cell Carcinoma, Esophageal",hsa-mir-223,109,337,1
"Squamous Cell Carcinoma, Oral",hsa-mir-223,276,337,1
"Stroke, Ischemic",hsa-mir-223,111,337,1
Synovial Sarcoma,hsa-mir-223,277,337,1
Systemic Lupus Erythematosus,hsa-mir-223,112,337,1
Testicular Germ Cell Tumor,hsa-mir-223,370,337,1
Traumatic Brain Injury,hsa-mir-223,280,337,1
Tuberculosis,hsa-mir-223,281,337,1
"Tuberculosis, Pulmonary",hsa-mir-223,282,337,1
Uveal Melanoma,hsa-mir-223,285,337,1
Viral Infectious Disease,hsa-mir-223,325,337,1
Viral Myocarditis,hsa-mir-223,326,337,1
Vulvar Squamous Cell Carcinoma,hsa-mir-223,649,337,1
Acquired Immunodeficiency Syndrome,hsa-mir-27b,330,358,1
"Adenocarcinoma, Esophageal",hsa-mir-27b,351,358,1
Adenovirus Infection,hsa-mir-27b,444,358,1
Allergy,hsa-mir-27b,445,358,1
Asthenozoospermia,hsa-mir-27b,655,358,1
Atherosclerosis,hsa-mir-27b,11,358,1
Bladder Neoplasms,hsa-mir-27b,14,358,1
Brain Disease,hsa-mir-27b,135,358,1
Breast Neoplasms,hsa-mir-27b,15,358,1
"Carcinoma, Breast",hsa-mir-27b,139,358,1
"Carcinoma, Breast, Triple Negative",hsa-mir-27b,140,358,1
"Carcinoma, Cervical",hsa-mir-27b,141,358,1
"Carcinoma, Gastric",hsa-mir-27b,144,358,1
"Carcinoma, Hepatocellular",hsa-mir-27b,18,358,1
"Carcinoma, Lung, Non-Small-Cell",hsa-mir-27b,20,358,1
"Carcinoma, Oral",hsa-mir-27b,149,358,1
"Carcinoma, Renal Cell, Clear-Cell",hsa-mir-27b,155,358,1
"Cardiomyopathy, Hypertrophic",hsa-mir-27b,22,358,1
Cardiovascular Diseases,hsa-mir-27b,23,358,1
Cervical Neoplasms,hsa-mir-27b,163,358,1
Chondrosarcoma,hsa-mir-27b,354,358,1
Colorectal Carcinoma,hsa-mir-27b,30,358,1
Congenital Heart Diseases,hsa-mir-27b,380,358,1
Cryptosporidium infection,hsa-mir-27b,672,358,1
Cystic Fibrosis,hsa-mir-27b,531,358,1
"Diabetes Mellitus, Type 2",hsa-mir-27b,36,358,1
Diabetic Retinopathy,hsa-mir-27b,300,358,1
Down Syndrome,hsa-mir-27b,301,358,1
Endometrial Neoplasms,hsa-mir-27b,183,358,1
Endometriosis,hsa-mir-27b,38,358,1
Esophageal Neoplasms,hsa-mir-27b,186,358,1
Gastric Neoplasms,hsa-mir-27b,42,358,1
Glioblastoma,hsa-mir-27b,43,358,1
Glioma,hsa-mir-27b,44,358,1
Head And Neck Neoplasms,hsa-mir-27b,198,358,1
Hepatitis C Virus Infection,hsa-mir-27b,49,358,1
Inflammation,hsa-mir-27b,211,358,1
Laryngeal Neoplasms,hsa-mir-27b,456,358,1
Leukemia,hsa-mir-27b,55,358,1
"Leukemia, Lymphocytic, Chronic, B-Cell",hsa-mir-27b,59,358,1
"Leukemia, Myeloid",hsa-mir-27b,313,358,1
"Leukemia, Myeloid, Acute",hsa-mir-27b,60,358,1
Lichen Planus,hsa-mir-27b,694,358,1
Liver Fibrosis,hsa-mir-27b,361,358,1
Liver Neoplasms,hsa-mir-27b,229,358,1
Lung Fibrosis,hsa-mir-27b,68,358,1
Lung Neoplasms,hsa-mir-27b,69,358,1
Lymphoma,hsa-mir-27b,71,358,1
Melanoma,hsa-mir-27b,76,358,1
Metabolic Syndrome,hsa-mir-27b,242,358,1
Multiple Sclerosis,hsa-mir-27b,80,358,1
Mycobacterium tuberculosis Infection,hsa-mir-27b,248,358,1
Neoplasms,hsa-mir-27b,85,358,1
Neuroblastoma,hsa-mir-27b,363,358,1
Neuronal Apoptosis-Related Diseases,hsa-mir-27b,597,358,1
Obesity,hsa-mir-27b,87,358,1
Osteoarthritis,hsa-mir-27b,257,358,1
Ovarian Neoplasms,hsa-mir-27b,88,358,1
Pancreatic Neoplasms,hsa-mir-27b,89,358,1
Peripheral Vascular Disease,hsa-mir-27b,263,358,1
Polycystic Ovarian Syndrome,hsa-mir-27b,94,358,1
Prostate Neoplasms,hsa-mir-27b,99,358,1
Pulmonary Hypertension,hsa-mir-27b,268,358,1
Respiratory Syncytial Virus Pneumonia,hsa-mir-27b,624,358,1
"Squamous Cell Carcinoma, Head and Neck",hsa-mir-27b,273,358,1
"Squamous Cell Carcinoma, Oral",hsa-mir-27b,276,358,1
Stroke,hsa-mir-27b,110,358,1
Urinary Bladder Cancer,hsa-mir-27b,114,358,1
Vascular Disease,hsa-mir-27b,286,358,1
Acquired Immunodeficiency Syndrome,hsa-mir-29a,330,368,1
Acute Pancreatitis,hsa-mir-29a,119,368,1
"Adenocarcinoma, Lung",hsa-mir-29a,121,368,1
Alzheimer Disease,hsa-mir-29a,5,368,1
Ankylosing Spondylitis,hsa-mir-29a,288,368,1
"Aortic Aneurysm, Thoracic",hsa-mir-29a,753,368,1
Atherosclerosis,hsa-mir-29a,11,368,1
Atrial Fibrillation,hsa-mir-29a,131,368,1
Autoimmune Diseases,hsa-mir-29a,290,368,1
Biliary Atresia,hsa-mir-29a,493,368,1
Bladder Neoplasms,hsa-mir-29a,14,368,1
Breast Neoplasms,hsa-mir-29a,15,368,1
Bronchopulmonary Dysplasia,hsa-mir-29a,136,368,1
"Carcinoma, Breast",hsa-mir-29a,139,368,1
"Carcinoma, Colon",hsa-mir-29a,142,368,1
"Carcinoma, Gastric",hsa-mir-29a,144,368,1
"Carcinoma, Hepatocellular",hsa-mir-29a,18,368,1
"Carcinoma, Lung",hsa-mir-29a,146,368,1
"Carcinoma, Lung, Non-Small-Cell",hsa-mir-29a,20,368,1
"Carcinoma, Lung, Small-Cell",hsa-mir-29a,147,368,1
"Carcinoma, Nasopharyngeal",hsa-mir-29a,148,368,1
"Carcinoma, Ovarian",hsa-mir-29a,150,368,1
"Carcinoma, Ovarian, Serous",hsa-mir-29a,151,368,1
"Carcinoma, Renal Cell, Clear-Cell",hsa-mir-29a,155,368,1
"Carcinoma, Thyroid, Papillary",hsa-mir-29a,157,368,1
Cardiomegaly,hsa-mir-29a,294,368,1
Cardiomyopathy,hsa-mir-29a,159,368,1
"Cardiomyopathy, Hypertrophic",hsa-mir-29a,22,368,1
Cervical Neoplasms,hsa-mir-29a,163,368,1
Cholangiocarcinoma,hsa-mir-29a,26,368,1
"Colitis, Ulcerative",hsa-mir-29a,169,368,1
Colon Neoplasms,hsa-mir-29a,29,368,1
Colorectal Carcinoma,hsa-mir-29a,30,368,1
Crohn Disease,hsa-mir-29a,32,368,1
Diabetes Mellitus,hsa-mir-29a,34,368,1
"Diabetes Mellitus, Type 2",hsa-mir-29a,36,368,1
Diabetic Nephropathy,hsa-mir-29a,176,368,1
Diabetic Retinopathy,hsa-mir-29a,300,368,1
Endocrine Gland Neoplasms,hsa-mir-29a,759,368,1
Endomyocardial Fibrosis,hsa-mir-29a,184,368,1
Ependymoma,hsa-mir-29a,335,368,1
Fatty Liver,hsa-mir-29a,303,368,1
"Fatty Liver, Non-Alcoholic",hsa-mir-29a,41,368,1
Focal Segmental Glomerulosclerosis,hsa-mir-29a,189,368,1
Gastric Neoplasms,hsa-mir-29a,42,368,1
Glaucoma,hsa-mir-29a,196,368,1
Glioblastoma,hsa-mir-29a,43,368,1
Glioma,hsa-mir-29a,44,368,1
Heart Failure,hsa-mir-29a,47,368,1
Heart Valve Disease,hsa-mir-29a,561,368,1
Hepatitis B Virus Infection,hsa-mir-29a,201,368,1
Hepatitis C Virus Infection,hsa-mir-29a,49,368,1
Hereditary Breast Carcinoma,hsa-mir-29a,203,368,1
Human Immunodeficiency Virus Infection,hsa-mir-29a,50,368,1
Hypertension,hsa-mir-29a,51,368,1
Idiopathic Pulmonary Fibrosis,hsa-mir-29a,338,368,1
IgA Nephropathy,hsa-mir-29a,389,368,1
Inflammation,hsa-mir-29a,211,368,1
Influenza,hsa-mir-29a,212,368,1
Irritable Bowel Syndrome,hsa-mir-29a,217,368,1
Ischemia-Reperfusion Injury,hsa-mir-29a,218,368,1
Kidney Diseases,hsa-mir-29a,220,368,1
Leukemia,hsa-mir-29a,55,368,1
"Leukemia, Lymphoblastic",hsa-mir-29a,56,368,1
"Leukemia, Lymphoblastic, Acute",hsa-mir-29a,57,368,1
"Leukemia, Lymphocytic, Chronic, B-Cell",hsa-mir-29a,59,368,1
"Leukemia, Myeloid, Acute",hsa-mir-29a,60,368,1
"Leukemia, Myeloid, Chronic-Phase",hsa-mir-29a,63,368,1
"Leukemia-Lymphoma, Precursor T-Cell Lymphoblastic",hsa-mir-29a,67,368,1
Liver Cirrhosis,hsa-mir-29a,226,368,1
Liver Diseases,hsa-mir-29a,227,368,1
Liver Neoplasms,hsa-mir-29a,229,368,1
Lung Neoplasms,hsa-mir-29a,69,368,1
"Lymphoma, B-Cell",hsa-mir-29a,72,368,1
"Lymphoma, Burkitt",hsa-mir-29a,233,368,1
Machado-Joseph Disease,hsa-mir-29a,237,368,1
Macular Degeneration,hsa-mir-29a,397,368,1
Malignant Neoplasms,hsa-mir-29a,341,368,1
Melanoma,hsa-mir-29a,76,368,1
Mesothelioma,hsa-mir-29a,77,368,1
Mitochondrial Metabolism Disease,hsa-mir-29a,589,368,1
Multiple Myeloma,hsa-mir-29a,79,368,1
Multiple Sclerosis,hsa-mir-29a,80,368,1
"Muscular Dystrophy, Duchenne",hsa-mir-29a,247,368,1
Myocardial Infarction,hsa-mir-29a,83,368,1
Myocardial Ischemic-Reperfusion Injury,hsa-mir-29a,251,368,1
Neoplasms,hsa-mir-29a,85,368,1
Neurilemmoma,hsa-mir-29a,317,368,1
Neuroblastoma,hsa-mir-29a,363,368,1
Oral Lichen Planus,hsa-mir-29a,318,368,1
Oral Neoplasms,hsa-mir-29a,256,368,1
Osteosarcoma,hsa-mir-29a,259,368,1
Ovarian Neoplasms,hsa-mir-29a,88,368,1
Pancreatic Neoplasms,hsa-mir-29a,89,368,1
Parkinson Disease,hsa-mir-29a,90,368,1
Pleural Mesothelioma,hsa-mir-29a,343,368,1
Preeclampsia,hsa-mir-29a,96,368,1
Premature Ovarian Failure,hsa-mir-29a,97,368,1
Prostate Neoplasms,hsa-mir-29a,99,368,1
Renal Fibrosis,hsa-mir-29a,419,368,1
Retinoblastoma,hsa-mir-29a,101,368,1
Rhabdomyosarcoma,hsa-mir-29a,322,368,1
Rheumatoid Arthritis,hsa-mir-29a,102,368,1
Salmonellosis,hsa-mir-29a,630,368,1
Schizophrenia,hsa-mir-29a,103,368,1
"Scleroderma, Localized",hsa-mir-29a,271,368,1
"Scleroderma, Systemic",hsa-mir-29a,272,368,1
"Shock, Hemorrhagic",hsa-mir-29a,847,368,1
Silicosis,hsa-mir-29a,813,368,1
Squamous Cell Carcinoma,hsa-mir-29a,369,368,1
"Squamous Cell Carcinoma, Cerevial",hsa-mir-29a,407,368,1
"Squamous Cell Carcinoma, Head and Neck",hsa-mir-29a,273,368,1
"Squamous Cell Carcinoma, Oral",hsa-mir-29a,276,368,1
"Squamous Cell Carcinoma, Tongue",hsa-mir-29a,429,368,1
"Tuberculosis, Pulmonary",hsa-mir-29a,282,368,1
Vascular Disease,hsa-mir-29a,286,368,1
Vascular Hypertrophy,hsa-mir-29a,115,368,1
Vasculitis,hsa-mir-29a,287,368,1
Acquired Immunodeficiency Syndrome,hsa-mir-29b,330,369,1
Alzheimer Disease,hsa-mir-29b,5,369,1
Aortic Aneurysm,hsa-mir-29b,485,369,1
"Aortic Aneurysm, Abdominal",hsa-mir-29b,128,369,1
Aortic Stenosis,hsa-mir-29b,7,369,1
Asthma,hsa-mir-29b,10,369,1
Atherosclerosis,hsa-mir-29b,11,369,1
Bladder Neoplasms,hsa-mir-29b,14,369,1
Brain Disease,hsa-mir-29b,135,369,1
Breast Neoplasms,hsa-mir-29b,15,369,1
Bronchopulmonary Dysplasia,hsa-mir-29b,136,369,1
"Carcinoma, Breast",hsa-mir-29b,139,369,1
"Carcinoma, Cervical",hsa-mir-29b,141,369,1
"Carcinoma, Colon",hsa-mir-29b,142,369,1
"Carcinoma, Endometrial",hsa-mir-29b,352,369,1
"Carcinoma, Gastric",hsa-mir-29b,144,369,1
"Carcinoma, Hepatocellular",hsa-mir-29b,18,369,1
"Carcinoma, Lung, Non-Small-Cell",hsa-mir-29b,20,369,1
"Carcinoma, Nasopharyngeal",hsa-mir-29b,148,369,1
"Carcinoma, Ovarian",hsa-mir-29b,150,369,1
"Carcinoma, Pancreatic",hsa-mir-29b,152,369,1
"Carcinoma, Renal Cell",hsa-mir-29b,21,369,1
Cardiomyopathy,hsa-mir-29b,159,369,1
Cardiovascular Diseases,hsa-mir-29b,23,369,1
Cerebral Aneurysm,hsa-mir-29b,512,369,1
Cerebral Ischemia,hsa-mir-29b,296,369,1
"Child Development Disorders, Pervasive",hsa-mir-29b,25,369,1
